PropertyID,TaxYear,CondoMasterId
1499195,2019,590721
1499196,2019,590721
1499197,2019,590721
1499198,2019,590721
1499691,2019,1499690
1499692,2019,1499690
1499693,2019,1499690
1499695,2019,1499690
1499696,2019,1499690
1499697,2019,1499690
1499698,2019,1499690
1499699,2019,1499690
1501262,2019,636189
1501265,2019,636189
1501267,2019,636189
1501268,2019,636189
1502164,2019,1502161
1502165,2019,1502161
1502166,2019,1502161
1502168,2019,1502167
1502169,2019,1502167
1502170,2019,1502167
1502172,2019,1502171
1502173,2019,1502171
1502174,2019,1502171
1502175,2019,1502171
1502231,2019,1499690
1502238,2019,1499690
1502241,2019,1499690
1502242,2019,1499690
1502244,2019,1499690
1502245,2019,1499690
1502246,2019,1499690
1502247,2019,1499690
1502274,2019,1502273
1502275,2019,1502273
1502846,2019,596651
1502848,2019,596651
1502851,2019,596651
1502852,2019,596651
1503415,2019,1503414
1504917,2019,1479779
1504919,2019,1479779
1504924,2019,1479779
1504930,2019,1479779
1504933,2019,1479779
1504937,2019,1479779
1504939,2019,1479779
1504940,2019,1479779
1504941,2019,1479779
1504942,2019,1479779
1504946,2019,1479779
1504947,2019,1479779
1505117,2019,1456472
1505379,2019,1505378
1505380,2019,1505378
1507086,2019,1479779
1507087,2019,1479779
1507088,2019,1479779
1507105,2019,1479779
1507106,2019,1479779
1507107,2019,1479779
1507110,2019,1479779
1507111,2019,1479779
1507112,2019,1479779
1507113,2019,1479779
1507114,2019,1479779
1507115,2019,1479779
1508030,2019,1508029
1508032,2019,1508029
1514223,2019,1436112
1514224,2019,1436112
1514226,2019,1502171
1514227,2019,1502171
1514230,2019,1502171
1514233,2019,1502171
1514251,2019,1514240
1514253,2019,1514240
1514273,2019,1499690
1514275,2019,1499690
1514277,2019,1499690
1514279,2019,1499690
1514282,2019,1499690
1514283,2019,1499690
1514285,2019,1499690
1514286,2019,1499690
1514288,2019,1499690
1514289,2019,1499690
1514290,2019,1499690
1514291,2019,1499690
1514292,2019,1499690
1514293,2019,1499690
1514294,2019,1499690
1514295,2019,1499690
1514351,2019,1479779
1514352,2019,1479779
1514355,2019,1479779
1514356,2019,1479779
1514357,2019,1479779
1514358,2019,1479779
1514359,2019,1479779
1514393,2019,1479779
1514394,2019,1479779
1514395,2019,1479779
1514396,2019,1479779
1514397,2019,1479779
1514399,2019,1479779
1514400,2019,1479779
1514402,2019,1479779
1514404,2019,1479779
1514405,2019,1479779
1514406,2019,1479779
1514407,2019,1479779
1514408,2019,1479779
1514410,2019,1479779
