ComID,PropertyID,TaxYear,BuildingNumber,UnitsPerBldg,StructureType,StructureType_Desc,IdenticalUnits,Grade,BuildingName,ClassCode,YearBuilt,YearEffective,YearRemod,PctComplete,Comments,PctCompleteFactor,ECF,CountyIndex,GradeFactor,RCN,UnAdjRCNLD,RCNLD,ElevatorUnAdjRCNLD,ElevatorECNLD,AvgSFCost,AvgPctGood,TotalIdenticalUnits,TotalRCNLD,TotCostArea
360561414,622192,2019,5,1.000000,398,398 - Warehouse,1.000000,A,NULL,3150,1960.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,201570.000000,82644.000000,101007.000000,0.000000,0.000000,18.330000,0.410000,1.000000,101010.000000,5510.000000
360561419,622192,2019,6,1.000000,398,398 - Warehouse,1.000000,A,NULL,3150,1960.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,404900.000000,166009.000000,202896.000000,0.000000,0.000000,18.690000,0.410000,1.000000,202900.000000,10856.000000
360561424,622192,2019,7,1.000000,398,398 - Warehouse,1.000000,A,NULL,3150,1960.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,423640.000000,173692.000000,212286.000000,0.000000,0.000000,18.020000,0.410000,1.000000,212290.000000,11780.000000
360561429,622192,2019,8,1.000000,398,398 - Warehouse,1.000000,A,NULL,3150,1960.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,275740.000000,113053.000000,138173.000000,0.000000,0.000000,19.190000,0.410000,1.000000,138170.000000,7200.000000
360561434,622192,2019,9,1.000000,398,398 - Warehouse,1.000000,A,NULL,3150,1940.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,26740.000000,9626.000000,11765.000000,0.000000,0.000000,20.430000,0.360000,1.000000,11770.000000,576.000000
360561439,622192,2019,10,1.000000,332,332 - Auto Equipment Service Garage,1.000000,A,NULL,3150,1950.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,575520.000000,293516.000000,358735.000000,0.000000,0.000000,59.920000,0.510000,1.000000,358740.000000,5987.000000
360561448,622192,2019,11,1.000000,398,398 - Warehouse,1.000000,F,NULL,3150,1950.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,0.840000,124440.000000,51020.000000,62357.000000,0.000000,0.000000,16.940000,0.410000,1.000000,62360.000000,3680.000000
360561453,622192,2019,12,1.000000,398,398 - Warehouse,1.000000,F,NULL,3150,1960.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,0.840000,117610.000000,48220.000000,58934.000000,0.000000,0.000000,16.370000,0.410000,1.000000,58930.000000,3600.000000
360561458,622192,2019,13,1.000000,398,398 - Warehouse,1.000000,F,NULL,3150,1960.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,0.840000,90790.000000,37224.000000,45495.000000,0.000000,0.000000,16.250000,0.410000,1.000000,45500.000000,2800.000000
360561463,622192,2019,14,1.000000,398,398 - Warehouse,1.000000,A,NULL,3150,1970.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,159210.000000,81197.000000,99239.000000,0.000000,0.000000,29.400000,0.510000,1.000000,99240.000000,3375.000000
360561468,622192,2019,15,1.000000,398,398 - Warehouse,1.000000,F,NULL,3150,1960.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,0.840000,74880.000000,38189.000000,46675.000000,0.000000,0.000000,20.120000,0.510000,1.000000,46680.000000,2320.000000
360561473,622192,2019,16,1.000000,332,332 - Auto Equipment Service Garage,1.000000,A,NULL,3150,1970.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,275060.000000,140281.000000,171451.000000,0.000000,0.000000,30.620000,0.510000,1.000000,171450.000000,5600.000000
360561478,622192,2019,17,1.000000,398,398 - Warehouse,1.000000,A,NULL,3150,1960.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,301610.000000,123660.000000,151137.000000,0.000000,0.000000,18.890000,0.410000,1.000000,151140.000000,8000.000000
360561483,622192,2019,18,1.000000,398,398 - Warehouse,1.000000,A,NULL,3150,1960.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,165270.000000,84288.000000,103017.000000,0.000000,0.000000,24.060000,0.510000,1.000000,103020.000000,4281.000000
360561488,622192,2019,19,1.000000,367,367 - Social/Fraternal Hall,1.000000,A,Sale Pavillion,3150,2000.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,312960.000000,209683.000000,256275.000000,0.000000,0.000000,80.590000,0.670000,1.000000,256280.000000,3180.000000
360561493,622192,2019,20,1.000000,398,398 - Warehouse,1.000000,A,NULL,3150,1970.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,631080.000000,321851.000000,393366.000000,0.000000,0.000000,21.980000,0.510000,1.000000,393370.000000,17897.000000
360561498,622192,2019,21,1.000000,382,382 - Skating Rink,1.000000,A,Haynes Pavillion,3150,2007.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,7783290.000000,6226632.000000,7610189.000000,0.000000,0.000000,104.640000,0.800000,1.000000,7610190.000000,72728.000000
360561507,622192,2019,22,1.000000,367,367 - Social/Fraternal Hall,1.000000,F,NULL,3150,1990.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,0.840000,481050.000000,274199.000000,335126.000000,0.000000,0.000000,52.520000,0.570000,1.000000,335130.000000,6381.000000
360561513,622192,2019,23,1.000000,353,"353 - Office Building, Low Rise (1 to 4 stories)",1.000000,A,Gallatin County Weed Control Office,3150,2005.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,542670.000000,417856.000000,510704.000000,0.000000,0.000000,113.490000,0.770000,1.000000,510700.000000,4500.000000
360561519,622192,2019,24,1.000000,367,367 - Social/Fraternal Hall,1.000000,A,Baseball Ticket Office,3150,2010.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,9100.000000,7462.000000,9120.000000,0.000000,0.000000,114.000000,0.820000,1.000000,9120.000000,80.000000
360561524,622192,2019,25,1.000000,325,325 - Fast Food,1.000000,A,Baseball Concessions,3150,2010.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,32850.000000,26280.000000,32119.000000,0.000000,0.000000,55.760000,0.800000,1.000000,32120.000000,576.000000
360561529,622192,2019,26,1.000000,398,398 - Warehouse,1.000000,F,NULL,3150,1970.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,0.840000,308200.000000,157182.000000,192108.000000,0.000000,0.000000,19.210000,0.510000,1.000000,192110.000000,10000.000000
360561534,622192,2019,27,1.000000,398,398 - Warehouse,1.000000,F,NULL,3150,1970.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,0.840000,214950.000000,109625.000000,133984.000000,0.000000,0.000000,20.300000,0.510000,1.000000,133980.000000,6600.000000
360561539,622192,2019,28,1.000000,398,398 - Warehouse,1.000000,F,NULL,3150,1960.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,0.840000,91660.000000,46747.000000,57134.000000,0.000000,0.000000,21.160000,0.510000,1.000000,57130.000000,2700.000000
360561544,622192,2019,29,1.000000,332,332 - Auto Equipment Service Garage,1.000000,A,Gallatin County Weed Control Shop,3150,1970.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,213450.000000,108860.000000,133049.000000,0.000000,0.000000,33.260000,0.510000,1.000000,133050.000000,4000.000000
360561550,622192,2019,30,1.000000,367,367 - Social/Fraternal Hall,1.000000,A,NULL,3150,1990.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,30080.000000,14438.000000,17646.000000,0.000000,0.000000,61.270000,0.480000,1.000000,17650.000000,288.000000
360561555,622192,2019,31,1.000000,325,325 - Fast Food,1.000000,A,Rodeo Concessions,3150,2010.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,149130.000000,119304.000000,145813.000000,0.000000,0.000000,71.130000,0.800000,1.000000,145810.000000,2050.000000
375989623,622196,2019,1,1.000000,353,"353 - Office Building, Low Rise (1 to 4 stories)",1.000000,A,NULL,3507,1965.000000,1995.000000,2010.000000,NULL,NULL,1.000000,1.260000,0.970000,1.000000,1100690.000000,726456.000000,887875.000000,22160.000000,17875.000000,131.420000,0.660000,1.000000,905750.000000,6756.000000
375473628,622199,2019,1,1.000000,353,"353 - Office Building, Low Rise (1 to 4 stories)",1.000000,G,NULL,3150,1900.000000,1990.000000,2000.000000,NULL,NULL,1.000000,1.260000,0.970000,1.330000,1537560.000000,953288.000000,1165109.000000,0.000000,0.000000,143.630000,0.620000,1.000000,1165110.000000,8112.000000
371436869,622201,2019,1,1.000000,611,611 - School,1.000000,F,NULL,3507,1941.000000,1965.000000,NULL,50.000000,NULL,0.500000,1.260000,0.970000,0.840000,1963300.000000,196330.000000,119978.000000,0.000000,0.000000,6.030000,0.100000,1.000000,119980.000000,19907.000000
368349554,622214,2019,1,1.000000,614,614 - Church,1.000000,G,NULL,3150,1935.000000,1965.000000,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.330000,1904450.000000,971270.000000,1187087.000000,0.000000,0.000000,186.180000,0.510000,1.000000,1187090.000000,6376.000000
368349568,622214,2019,2,1.000000,105,105 - Mixed Res/Com (built as Res),1.000000,A,15 E. Curtiss,3150,1935.000000,1975.000000,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,238160.000000,121461.000000,148449.000000,0.000000,0.000000,116.210000,0.510000,1.000000,148450.000000,1277.000000
325035308,622215,2019,1,1.000000,614,614 - Church,1.000000,G,NULL,3150,1873.000000,1975.000000,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.330000,3794880.000000,1841668.000000,2250888.000000,0.000000,0.000000,155.510000,0.485000,1.000000,2250890.000000,14474.000000
363503137,622216,2019,1,1.000000,614,614 - Church,1.000000,F,Grand Ave Christian Church,3150,1950.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,0.840000,1307210.000000,666678.000000,814813.000000,0.000000,0.000000,79.490000,0.510000,1.000000,814810.000000,10250.000000
346601227,622217,2019,1,1.000000,614,614 - Church,1.000000,G,NULL,3150,1911.000000,1965.000000,1990.000000,NULL,NULL,1.000000,1.260000,0.970000,1.330000,1211670.000000,616249.000000,753179.000000,0.000000,0.000000,192.140000,0.509000,1.000000,753180.000000,3920.000000
337751109,622218,2019,1,1.000000,614,614 - Church,1.000000,G,NULL,3150,1890.000000,1985.000000,2014.000000,NULL,NULL,1.000000,1.260000,0.970000,1.330000,1499830.000000,839906.000000,1026534.000000,0.000000,0.000000,106.830000,0.560000,1.000000,1026530.000000,9609.000000
293980506,622219,2019,1,1.000000,614,614 - Church,1.000000,G,NULL,3150,1908.000000,1995.000000,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.330000,3369380.000000,2152223.000000,2630447.000000,0.000000,0.000000,229.130000,0.639000,1.000000,2630450.000000,11480.000000
337808156,622235,2019,1,1.000000,614,614 - Church,1.000000,A,NULL,3150,1983.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,3460970.000000,1868923.000000,2284198.000000,0.000000,0.000000,86.490000,0.540000,1.000000,2284200.000000,26409.000000
370602058,622239,2019,Dorm 1,1.000000,613,613 - Dormitory,1.000000,A,NULL,3150,1959.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,2740110.000000,1397456.000000,1707971.000000,0.000000,0.000000,101.710000,0.510000,1.000000,1707970.000000,16792.000000
370602078,622239,2019,Admin Bldg,1.000000,611,611 - School,1.000000,A,NULL,3150,1959.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,3121060.000000,1591741.000000,1945426.000000,0.000000,0.000000,81.410000,0.510000,1.000000,1945430.000000,23898.000000
370602086,622239,2019,Dorm 2,1.000000,613,613 - Dormitory,1.000000,A,NULL,3150,1959.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,2021940.000000,1031189.000000,1260320.000000,0.000000,0.000000,109.330000,0.510000,1.000000,1260320.000000,11528.000000
370602099,622239,2019,Storage 2,1.000000,398,398 - Warehouse,1.000000,A,NULL,3150,1959.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,170550.000000,86661.000000,105918.000000,0.000000,0.000000,27.810000,0.508000,1.000000,105920.000000,3808.000000
370602072,622239,2019,Storage 1,1.000000,398,398 - Warehouse,1.000000,A,Multi-Use Storage behind Dorm #1,3150,1959.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,76370.000000,38949.000000,47603.000000,0.000000,0.000000,35.210000,0.510000,1.000000,47600.000000,1352.000000
262229412,622264,2019,1,1.000000,398,398 - Warehouse,1.000000,A,NULL,3307,1995.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,368550.000000,235872.000000,288283.000000,0.000000,0.000000,47.950000,0.640000,1.000000,288280.000000,6012.000000
283914103,622266,2019,8,12.000000,211,"211 - Apartments, Garden (3 stories & less)",1.000000,A,Units 59-70,3527,2001.000000,NULL,NULL,NULL,NULL,1.000000,1.570000,0.970000,1.000000,447580.000000,340161.000000,518031.000000,0.000000,0.000000,148.950000,0.760000,1.000000,518030.000000,3478.000000
