PropertyID,TaxYear,LinkedProperty,LinkType,LinkTypeDesc,LinkedPropertyID
1571488,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571489,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571490,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571491,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571492,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571493,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571494,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571495,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571496,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571497,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571498,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571499,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571500,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571501,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571502,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571503,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571504,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571505,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571506,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571507,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571508,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571509,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571510,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571511,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571512,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571513,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571514,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571515,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571516,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571517,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571518,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571548,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571549,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571550,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571551,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571552,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571553,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571554,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571555,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571556,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571557,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571558,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571559,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571560,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571561,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571562,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571563,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571564,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571565,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571566,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571567,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571568,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571569,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571570,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571571,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571572,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571573,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571574,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571575,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571576,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571577,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571578,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571579,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571580,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571581,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571582,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571583,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571584,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571585,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571586,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571587,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571588,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571589,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571590,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571591,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571592,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571700,2019,06-0798-16-1-05-20-0000,127508,8 - Split,620068
1571700,2019,06-0798-16-1-05-20-7000,127508,8 - Split,620068
1571701,2019,06-0798-16-1-05-20-0000,127508,8 - Split,620068
1571701,2019,06-0798-16-1-05-20-7000,127508,8 - Split,620068
1571869,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571870,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571871,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571872,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571873,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571874,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571875,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571876,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571877,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571878,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571879,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571880,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571881,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571882,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571883,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571884,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571885,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571886,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571887,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571888,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571889,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571890,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571891,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571892,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571893,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571894,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571895,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571896,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571897,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571898,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571899,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571900,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571901,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571902,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571903,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571904,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571905,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571906,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571907,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571908,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571909,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571910,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571911,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571912,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571913,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571914,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571915,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571916,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571917,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1571918,2019,06-0698-02-3-01-01-0000,127508,8 - Split,645173
1572267,2019,06-0697-02-3-01-45-0900,127508,8 - Split,623746
1572267,2019,06-0697-02-3-01-45-SAL2,127508,8 - Split,623746
1572267,2019,06-0697-02-3-01-50-0000,127508,8 - Split,623746
1572268,2019,06-0697-02-3-01-45-0900,127508,8 - Split,623746
1572268,2019,06-0697-02-3-01-45-SAL2,127508,8 - Split,623746
1572268,2019,06-0697-02-3-01-50-0000,127508,8 - Split,623746
1572269,2019,06-0697-02-3-01-45-0900,127508,8 - Split,623746
1572269,2019,06-0697-02-3-01-50-0000,127508,8 - Split,623746
1572269,2019,06-0697-02-3-01-45-SAL2,127508,8 - Split,623746
1572319,2019,06-0338-04-1-10-01-0000,127508,8 - Split,628271
1572323,2019,06-0798-21-1-02-07-0000,127508,8 - Split,640983
1572324,2019,06-0798-21-1-02-07-0000,127508,8 - Split,640983
1572354,2019,06-1011-36-2-90-07-0000,127508,8 - Split,597926
1572391,2019,06-0798-10-3-01-05-7000,127508,8 - Split,596651
1572392,2019,06-0798-10-3-01-05-7000,127508,8 - Split,596651
1572393,2019,06-0798-10-3-01-05-7000,127508,8 - Split,596651
1572394,2019,06-0798-10-3-01-05-7000,127508,8 - Split,596651
1572395,2019,06-0798-10-3-01-05-7000,127508,8 - Split,596651
1572396,2019,06-0798-10-3-01-05-7000,127508,8 - Split,596651
1572469,2019,06-0903-09-4-02-15-7000,127508,8 - Split,1488247
1572469,2019,06-0903-09-4-02-15-0000,127508,8 - Split,1488247
1572470,2019,06-0903-09-4-02-15-0000,127508,8 - Split,1488247
1572470,2019,06-0903-09-4-02-15-7000,127508,8 - Split,1488247
1572471,2019,06-0903-09-4-02-15-0000,127508,8 - Split,1488247
1572471,2019,06-0903-09-4-02-15-7000,127508,8 - Split,1488247
1572472,2019,06-0903-09-4-02-15-0000,127508,8 - Split,1488247
1572472,2019,06-0903-09-4-02-15-7000,127508,8 - Split,1488247
1572473,2019,06-0903-09-4-02-15-0000,127508,8 - Split,1488247
1572473,2019,06-0903-09-4-02-15-7000,127508,8 - Split,1488247
